    YYYYMMDD      HHMMSS     JULIAN        YEAR      total_column   error       instrument
    19971118      151227    2450771     1997.881188   1.2049e+016   1.9615e+015      0
    19971119       90418    2450772     1997.883227   4.7968e+015   7.8087e+014      0
    19971119      131426    2450772     1997.883703   1.6189e+016   2.6354e+015      0
    19971119      151730    2450772     1997.883937   1.8594e+016   3.0269e+015      0
    19971120       74548    2450773     1997.885818   8.1764e+015   1.3310e+015      0
    19971123       54546    2450776     1997.893809   1.3494e+016   2.1966e+015      0
    19971123       95357    2450776     1997.894281   1.7542e+016   2.8556e+015      0
    19971124       65812    2450777     1997.896686   1.1811e+016   1.9227e+015      0
    19971124      105510    2450777     1997.897137   2.1962e+016   3.5752e+015      0
    19971124      125813    2450777     1997.897371   2.1189e+016   3.4494e+015      0
    19971124      150102    2450777     1997.897605   3.1738e+016   5.1666e+015      0
    19971125      124456    2450778     1997.900085   3.4005e+016   5.5356e+015      0
    19971125      144748    2450778     1997.900319   4.8634e+016   7.9170e+015      0
    19971126       82738    2450779     1997.902336   1.7663e+016   2.8753e+015      0
    19971126      103021    2450779     1997.902569   2.7404e+016   4.4610e+015      0
    19971202       60417    2450785     1997.918501   1.1439e+016   1.8622e+015      0
    19971202       80715    2450785     1997.918735   1.4764e+016   2.4035e+015      0
    19971202      141753    2450785     1997.919440   2.3280e+016   3.7898e+015      0
    19971211      101108    2450794     1997.943628   1.2660e+016   2.0608e+015      0
    19971212       92219    2450795     1997.946275   1.9680e+016   3.2037e+015      0
    19971215       83439    2450798     1997.954404   5.8613e+015   9.5415e+014      0
    19971215      103723    2450798     1997.954637   1.5637e+016   2.5454e+015      0
    19971215      124308    2450798     1997.954877   1.3238e+016   2.1549e+015      0
    19971215      144842    2450798     1997.955115   1.5938e+016   2.5946e+015      0
    19971216       95520    2450799     1997.957297   1.5985e+016   2.6022e+015      0
    19971217       81705    2450800     1997.959850   1.8568e+016   3.0227e+015      0
    19971217      101951    2450800     1997.960083   2.2747e+016   3.7029e+015      0
    19971222       55317    2450805     1997.973275   1.5734e+016   2.5613e+015      0
    19971226       93909    2450809     1997.984664   2.0672e+016   3.3651e+015      0
    19971226      134507    2450809     1997.985132   4.1519e+016   6.7589e+015      0
    19980112       91242    2450826     1998.031189   1.6259e+016   2.6467e+015      0
    19980112      144413    2450826     1998.031819   1.8334e+016   2.9845e+015      0
    19980113       83357    2450827     1998.033855   1.3128e+016   2.1370e+015      0
    19980113      103642    2450827     1998.034088   2.5305e+016   4.1193e+015      0
    19980117      140342    2450831     1998.045441   1.7002e+016   2.7677e+015      0
    19980117      160736    2450831     1998.045677   1.6363e+016   2.6637e+015      0
    19980118       85608    2450832     1998.047595   2.8522e+016   4.6430e+015      0
    19980118      105859    2450832     1998.047829   4.6976e+016   7.6472e+015      0
    19980120      103000    2450834     1998.053253   1.7314e+016   2.8185e+015      0
    19980123      101618    2450837     1998.061447   3.2248e+016   5.2496e+015      0
    19980123      121901    2450837     1998.061680   3.6239e+016   5.8993e+015      0
    19980123      142150    2450837     1998.061914   2.3760e+016   3.8678e+015      0
    19980126      103821    2450840     1998.069708   6.0253e+015   9.8085e+014      0
    19980126      124058    2450840     1998.069941   8.0446e+015   1.3096e+015      0
    19980127      122331    2450841     1998.072647   8.7413e+015   1.4230e+015      0
    19980127      162900    2450841     1998.073115   8.9647e+015   1.4594e+015      0
    19980128      104557    2450842     1998.075202   1.6379e+016   2.6663e+015      0
    19980129      125657    2450843     1998.078191   1.9399e+016   3.1579e+015      0
    19980211      155147    2450856     1998.114140   9.7488e+015   1.5870e+015      0
    19980218      105609    2450863     1998.132755   9.7806e+015   1.5922e+015      0
    19980218      130249    2450863     1998.132996   2.1229e+016   3.4559e+015      0
    19980219       82952    2450864     1998.135217   2.0593e+016   3.3523e+015      0
    19980219      103427    2450864     1998.135454   3.2177e+016   5.2381e+015      0
    19980219      123730    2450864     1998.135688   3.7461e+016   6.0983e+015      0
    19980225       82730    2450870     1998.151650   3.3800e+016   5.5022e+015      0
    19980225      123338    2450870     1998.152119   4.3616e+016   7.1002e+015      0
    19980226       84524    2450871     1998.154424   3.4001e+016   5.5350e+015      0
    19980226      104908    2450871     1998.154660   5.9126e+016   9.6251e+015      0
    19980226      125411    2450871     1998.154898   8.1194e+016   1.3217e+016      0
    19980226      145710    2450871     1998.155132   6.3720e+016   1.0373e+016      0
    19980227       93852    2450872     1998.157266   1.0068e+016   1.6390e+015      0
    19980302       80927    2450875     1998.165315   9.9625e+015   1.6218e+015      0
    19980302      121450    2450875     1998.165782   1.7145e+016   2.7910e+015      0
    19980303       90844    2450876     1998.168167   2.4597e+016   4.0041e+015      0
    19980303      111139    2450876     1998.168401   2.4368e+016   3.9669e+015      0
    19980303      140244    2450876     1998.168727   3.1676e+016   5.1566e+015      0
    19980304       75101    2450877     1998.170759   1.7171e+016   2.7953e+015      0
    19980310      140343    2450883     1998.187907   8.8758e+015   1.4449e+015      0
    19980310      160657    2450883     1998.188141   5.5397e+015   9.0180e+014      0
    19980311       82344    2450884     1998.189999   1.8361e+016   2.9890e+015      0
    19980311      102644    2450884     1998.190234   2.2166e+016   3.6084e+015      0
    19980311      122950    2450884     1998.190468   3.7915e+016   6.1722e+015      0
    19980311      143248    2450884     1998.190702   3.1977e+016   5.2055e+015      0
